month,cpi
2008-01,7.0781
2008-02,8.7443
2008-03,8.3097
2008-04,8.4829
2008-05,7.7163
2008-06,7.0844
2008-07,6.302
2008-08,4.9001
2008-09,4.6425
2008-10,3.9744
2008-11,2.434
2008-12,1.1999
2009-01,0.95
2009-02,-1.5582
2009-03,-1.1714
2009-04,-1.5
2009-05,-1.3713
2009-06,-1.7
2009-07,-1.8057
2009-08,-1.2043
2009-09,-0.7883
2009-10,-0.53
2009-11,0.56
2009-12,1.8559
2010-01,1.53
2010-02,2.6953
2010-03,2.3707
2010-04,2.8136
2010-05,3.0613
2010-06,2.9499
2010-07,3.3042
2010-08,3.4794
2010-09,3.6056
2010-10,4.3655
2010-11,5.1192
2010-12,4.5859
2011-01,4.9121
2011-02,4.9443
2011-03,5.383
2011-04,5.3442
2011-05,5.5146
2011-06,6.3553
2011-07,6.4508
2011-08,6.1514
2011-09,6.0671
2011-10,5.4954
2011-11,4.2246
2011-12,4.0704
2012-01,4.5485
2012-02,3.1613
2012-03,3.5856
2012-04,3.3653
2012-05,3.0008
2012-06,2.1504
2012-07,1.8
2012-08,2.0
2012-09,1.9
2012-10,1.7
2012-11,2.0
2012-12,2.5
2013-01,2.0
2013-02,3.2
2013-03,2.1
2013-04,2.4
2013-05,2.0981
2013-06,2.7
2013-07,2.7
2013-08,2.6
2013-09,3.1
2013-10,3.2
2013-11,3.0
2013-12,2.49871692
2014-01,2.5
2014-02,2.0
2014-03,2.4
2014-04,1.80138144
2014-05,2.5
2014-06,2.3
2014-07,2.3
2014-08,2.0
2014-09,1.6
2014-10,1.60114868
2014-11,1.4
2014-12,1.5
2015-01,0.8
2015-02,1.4
2015-03,1.4
2015-04,1.5
2015-05,1.2
2015-06,1.4
2015-07,1.6
2015-08,2.0
2015-09,1.59560463
2015-10,1.3
2015-11,1.5
2015-12,1.6
2016-01,1.8
2016-02,2.3
2016-03,2.3
2016-04,2.3
2016-05,2.0
2016-06,1.9
2016-07,1.8
2016-08,1.3
2016-09,1.9
2016-10,2.1
2016-11,2.3
2016-12,2.1
2017-01,2.5
2017-02,0.8
2017-03,0.9
2017-04,1.2
2017-05,1.5
2017-06,1.5
2017-07,1.4
2017-08,1.8
2017-09,1.6
2017-10,1.9
2017-11,1.7
2017-12,1.8
2018-01,1.5
2018-02,2.9
2018-03,2.1
2018-04,1.8
2018-05,1.8
2018-06,1.9
2018-07,2.1
2018-08,2.3
2018-09,2.5
2018-10,2.5
2018-11,2.2
2018-12,1.9
2019-01,1.7
2019-02,1.5
2019-03,2.3
2019-04,2.5
2019-05,2.7
2019-06,2.7
2019-07,2.8
2019-08,2.8
2019-09,3.0
2019-10,3.8
2019-11,4.5
2019-12,4.5
2020-01,5.4
2020-02,5.2
2020-03,4.3
2020-04,3.3
2020-05,2.4
2020-06,2.5
2020-07,2.7
2020-08,2.4
2020-09,1.7
2020-10,0.5
2020-11,-0.5
2020-12,0.2
2021-01,-0.3
2021-02,-0.2
2021-03,0.4
2021-04,0.9
2021-05,1.3
2021-06,1.1
2021-07,1.0
2021-08,0.8
2021-09,0.7
2021-10,1.5
2021-11,2.3
2021-12,1.5
2022-01,0.9
2022-02,0.9
2022-03,1.5
2022-04,2.1
2022-05,2.1
2022-06,2.5
2022-07,2.7
2022-08,2.5
2022-09,2.8
2022-10,2.1
2022-11,1.6
2022-12,1.8
2023-01,2.1
2023-02,1.0
2023-03,0.7
2023-04,0.1
2023-05,0.2
2023-06,0.0
2023-07,-0.3
2023-08,0.1
2023-09,0.0
2023-10,-0.2
2023-11,-0.5
2023-12,-0.3
2024-01,-0.8
2024-02,0.7
2024-03,0.1
2024-04,0.3
2024-05,0.3
2024-06,0.2
2024-07,0.5
2024-08,0.6
2024-09,0.4
2024-10,0.3
2024-11,0.2
2024-12,0.1
2025-01,0.5
2025-02,-0.7
2025-03,-0.1
2025-04,-0.1
2025-05,-0.1
2025-06,0.1
2025-07,0.0
2025-08,-0.4
2025-09,-0.3
2025-10,0.2
2025-11,0.7
2025-12,0.8
2026-01,0.2
2026-02,1.3
2026-03,1.0
