月份,社融增量当月值,社融增量累计值
202512,22075,9804
202511,24926,4096
202510,8178,-154
202509,35299,16081
202508,25660,6253
202507,11307,-4296
202506,42251,23600
202505,22900,5923
202504,11599,884
202503,58961,38234
202502,22331,6528
202501,70546,52194
202412,28507,8402
202411,23288,5216
202410,14120,2965
202409,37635,19742
202408,30323,10411
202407,7707,-808
202406,32985,21927
202405,20623,8197
202404,-658,3349
202403,48335,32920
202402,14959,9773
202401,64734,48401
202312,19401,11092
202311,24554,11120
202310,18441,4837
202309,41326,25369
202308,31279,13412
202307,5366,364
202306,42265,32413
202305,15560,12219
202304,12249,4431
202303,53867,39487
202302,31610,18184
202301,59956,49314
202212,13058,14401
202211,19837,11448
202210,9134,4431
202209,35411,25686
202208,24712,13344
202207,7785,4088
202206,51926,61759
202205,28415,18230
202204,9327,3616
202203,46565,32291
202202,12170,9084
202201,61759,41988
202112,23682,10350
202111,25983,13021
202110,16176,7752
202109,29026,17755
202108,29893,12713
202107,10752,8391
202106,37017,23182
202105,19522,14294
202104,18570,12840
202103,33762,27511
202102,17243,13413
202101,51884,38182
202012,17192,11458
202011,21355,15309
202010,13929,6663
202009,34693,19171
202008,35853,14201
202007,16928,10221
202006,34681,19029
202005,31866,15502
202004,31027,16239
202003,51838,30390
202002,8737,7202
202001,50535,34924
201912,22013,10770
201911,19937,13633
201910,8680,5470
201909,25142,17612
201908,21956,13045
201907,12872,8086
201906,26243,16737
201905,17124,11855
201904,16710,8733
201903,29602,19584
201902,9665,7641
201901,46791,35668
201812,15898,9281
201811,15239,12302
201810,7420,7141
201809,21691,14341
201808,19391,13140
201807,12254,12861
201806,14877,16787
201805,9518,11396
201804,17761,10987
201803,15848,11425
201802,11894,10199
201801,30793,26850
201712,11481,5769
201711,16128,11428
201710,10357,6635
201709,18335,11885
201708,14895,11466
201707,11956,9152
201706,17718,14474
201705,10631,11780
201704,13880,10806
201703,21186,11586
201702,10908,10317
201701,36970,23133
201612,16397,9943
201611,18328,8463
201610,8865,6010
201609,17115,12628
201608,14605,7969
201607,4791,4550
201606,16479,13141
201605,6770,9374
201604,7809,5642
201603,23931,13176
201602,8312,8105
201601,34758,25370
201512,18114,8323
201511,10255,8873
201510,5593,5574
201509,13571,10417
201508,11097,7756
201507,7511,5890
201506,18384,13240
201505,12397,8510
201504,10582,8045
201503,12433,9920
201502,13609,11437
201501,20516,14708
