date,code,weight,cycle_phase,confidence
2022-04-30,510300,0.2917,滞胀期,0.55
2022-04-30,511010,0.3417,滞胀期,0.55
2022-04-30,518880,0.3667,滞胀期,0.55
2022-05-31,510300,0.2,衰退期,0.7
2022-05-31,511010,0.375,衰退期,0.7
2022-05-31,511220,0.225,衰退期,0.7
2022-05-31,518880,0.2,衰退期,0.7
2022-06-30,510300,0.2917,滞胀期,0.55
2022-06-30,511010,0.3417,滞胀期,0.55
2022-06-30,518880,0.3667,滞胀期,0.55
2022-07-31,510300,0.5,扩张期,0.75
2022-07-31,510500,0.25,扩张期,0.75
2022-07-31,511010,0.15,扩张期,0.75
2022-07-31,518880,0.1,扩张期,0.75
2022-08-31,510300,0.2917,滞胀期,0.55
2022-08-31,511010,0.3417,滞胀期,0.55
2022-08-31,518880,0.3667,滞胀期,0.55
2022-09-30,510300,0.2917,滞胀期,0.55
2022-09-30,511010,0.3417,滞胀期,0.55
2022-09-30,518880,0.3667,滞胀期,0.55
2022-10-31,510300,0.5,扩张期,0.75
2022-10-31,510500,0.25,扩张期,0.75
2022-10-31,511010,0.15,扩张期,0.75
2022-10-31,518880,0.1,扩张期,0.75
2022-11-30,510300,0.2917,滞胀期,0.55
2022-11-30,511010,0.3417,滞胀期,0.55
2022-11-30,518880,0.3667,滞胀期,0.55
2022-12-31,510300,0.2,衰退期,0.7
2022-12-31,511010,0.375,衰退期,0.7
2022-12-31,511220,0.225,衰退期,0.7
2022-12-31,518880,0.2,衰退期,0.7
2023-01-31,510300,0.2,衰退期,0.7
2023-01-31,511010,0.375,衰退期,0.7
2023-01-31,511220,0.225,衰退期,0.7
2023-01-31,518880,0.2,衰退期,0.7
2023-02-28,510300,0.5,扩张期,0.75
2023-02-28,510500,0.25,扩张期,0.75
2023-02-28,511010,0.15,扩张期,0.75
2023-02-28,518880,0.1,扩张期,0.75
2023-03-31,510300,0.5,扩张期,0.75
2023-03-31,510500,0.25,扩张期,0.75
2023-03-31,511010,0.15,扩张期,0.75
2023-03-31,518880,0.1,扩张期,0.75
2023-04-30,510300,0.5,扩张期,0.75
2023-04-30,510500,0.25,扩张期,0.75
2023-04-30,511010,0.15,扩张期,0.75
2023-04-30,518880,0.1,扩张期,0.75
2023-05-31,510300,0.2917,滞胀期,0.55
2023-05-31,511010,0.3417,滞胀期,0.55
2023-05-31,518880,0.3667,滞胀期,0.55
2023-06-30,510300,0.2917,滞胀期,0.55
2023-06-30,511010,0.3417,滞胀期,0.55
2023-06-30,518880,0.3667,滞胀期,0.55
2023-07-31,510300,0.2917,滞胀期,0.55
2023-07-31,511010,0.3417,滞胀期,0.55
2023-07-31,518880,0.3667,滞胀期,0.55
2023-08-31,510300,0.2,衰退期,0.7
2023-08-31,511010,0.375,衰退期,0.7
2023-08-31,511220,0.225,衰退期,0.7
2023-08-31,518880,0.2,衰退期,0.7
2023-09-30,510300,0.2917,滞胀期,0.55
2023-09-30,511010,0.3417,滞胀期,0.55
2023-09-30,518880,0.3667,滞胀期,0.55
2023-10-31,510300,0.5,扩张期,0.75
2023-10-31,510500,0.25,扩张期,0.75
2023-10-31,511010,0.15,扩张期,0.75
2023-10-31,518880,0.1,扩张期,0.75
2023-11-30,510300,0.2917,滞胀期,0.55
2023-11-30,511010,0.3417,滞胀期,0.55
2023-11-30,518880,0.3667,滞胀期,0.55
2023-12-31,510300,0.2917,滞胀期,0.55
2023-12-31,511010,0.3417,滞胀期,0.55
2023-12-31,518880,0.3667,滞胀期,0.55
