quarter,GDP累计值（亿元）,当季同比增速（%）,第一产业累计值（亿元）,第一产业同比增速（%）,第二产业累计值（亿元）,第二产业同比增速（%）,第三产业累计值（亿元）,第三产业同比增速（%）
2025Q4,1401879.2,5.0,93346.8,3.9,499653.0,4.5,808879.3,5.4
2025Q3,1013967.9,5.2,58187.1,3.8,362849.7,4.9,592931.1,5.4
2025Q2,659861.6,5.3,31234.8,3.7,238262.6,5.3,390364.3,5.5
2025Q1,318466.4,5.4,11729.8,3.5,111549.3,5.9,195187.3,5.3
2024Q4,1348066.2,5.0,91635.8,3.5,490305.4,5.3,766124.9,5.0
2024Q3,974553.8,4.8,57497.5,3.4,355237.3,5.4,561819.0,4.7
2024Q2,633599.4,5.0,30468.8,3.5,233253.0,5.8,369877.5,4.6
2024Q1,304761.8,5.3,11458.8,3.3,108277.4,6.0,185025.6,5.0
2023Q4,1294271.7,5.4,89169.1,4.1,475936.1,4.4,729166.5,6.3
2023Q3,937047.0,5.4,55955.6,4.0,344190.1,4.1,536901.2,6.5
2023Q2,608606.3,5.7,30195.9,3.7,224508.4,4.0,353902.0,6.9
2023Q1,292368.8,4.7,11500.4,3.7,104579.5,2.9,176288.8,5.9
2022Q4,1234029.4,3.1,88207.0,4.2,467629.6,2.3,678192.7,3.5
2022Q3,891687.0,3.2,54756.9,4.3,339457.2,2.4,497472.9,3.5
2022Q2,576287.3,2.7,29103.4,5.1,221608.7,2.0,325575.3,3.0
2022Q1,277175.8,4.8,10920.7,6.1,102919.5,4.0,163335.6,5.3
