month,m2
2008-01,18.88
2008-02,17.39
2008-03,16.19
2008-04,16.94
2008-05,18.07
2008-06,17.37
2008-07,16.35
2008-08,16.0
2008-09,15.29
2008-10,15.02
2008-11,14.8
2008-12,17.82
2009-01,18.79
2009-02,20.48
2009-03,25.51
2009-04,25.95
2009-05,25.74
2009-06,28.46
2009-07,28.42
2009-08,28.53
2009-09,29.31
2009-10,29.42
2009-11,29.74
2009-12,27.68
2010-01,25.98
2010-02,25.52
2010-03,22.5
2010-04,21.48
2010-05,21.0
2010-06,18.5
2010-07,17.6
2010-08,19.2
2010-09,19.0
2010-10,19.3
2010-11,19.5
2010-12,19.7
2011-01,17.2
2011-02,15.7
2011-03,16.6
2011-04,15.3
2011-05,15.1
2011-06,15.9
2011-07,14.7
2011-08,13.5
2011-09,13.04
2011-10,12.9
2011-11,12.7
2011-12,13.6
2012-01,12.4
2012-02,13.0
2012-03,13.4
2012-04,12.8
2012-05,13.2
2012-06,13.6
2012-07,13.9
2012-08,13.5
2012-09,14.8
2012-10,14.1
2012-11,13.9
2012-12,13.8
2013-01,15.9
2013-02,15.2
2013-03,15.7
2013-04,16.1
2013-05,15.8
2013-06,14.0
2013-07,14.5
2013-08,14.7
2013-09,14.2
2013-10,14.3
2013-11,14.2
2013-12,13.6
2014-01,13.2
2014-02,13.3
2014-03,12.1
2014-04,13.2
2014-05,13.4
2014-06,14.7
2014-07,13.5
2014-08,12.8
2014-09,12.9
2014-10,12.6
2014-11,12.3
2014-12,12.2
2015-01,10.8
2015-02,12.5
2015-03,11.6
2015-04,10.1
2015-05,10.8
2015-06,11.8
2015-07,13.3
2015-08,13.3
2015-09,13.1
2015-10,13.5
2015-11,13.7
2015-12,13.3
2016-01,14.0
2016-02,13.3
2016-03,13.4
2016-04,12.8
2016-05,11.8
2016-06,11.8
2016-07,10.2
2016-08,11.4
2016-09,11.5
2016-10,11.6
2016-11,11.4
2016-12,11.3
2017-01,10.7032
2017-02,10.45
2017-03,10.1178
2017-04,9.8426
2017-05,9.1289
2017-06,9.1013
2017-07,8.89
2017-08,8.5633
2017-09,8.976
2017-10,8.8771
2017-11,9.1148
2017-12,8.0654
2018-01,8.6
2018-02,8.8
2018-03,8.2
2018-04,8.3
2018-05,8.3
2018-06,8.0
2018-07,8.5
2018-08,8.2
2018-09,8.3
2018-10,8.0
2018-11,8.0
2018-12,8.1
2019-01,8.4
2019-02,8.0
2019-03,8.6
2019-04,8.5
2019-05,8.5
2019-06,8.5
2019-07,8.1
2019-08,8.2
2019-09,8.4
2019-10,8.4
2019-11,8.2
2019-12,8.7
2020-01,8.4
2020-02,8.8
2020-03,10.1
2020-04,11.1
2020-05,11.1
2020-06,11.1
2020-07,10.7
2020-08,10.4
2020-09,10.9
2020-10,10.5
2020-11,10.7
2020-12,10.1
2021-01,9.4
2021-02,10.1
2021-03,9.4
2021-04,8.1
2021-05,8.3
2021-06,8.6
2021-07,8.3
2021-08,8.2
2021-09,8.3
2021-10,8.7
2021-11,8.5
2021-12,9.0
2022-01,9.8
2022-02,9.2
2022-03,9.7
2022-04,10.5
2022-05,11.1
2022-06,11.4
2022-07,12.0
2022-08,12.2
2022-09,12.1
2022-10,11.8
2022-11,12.4
2022-12,11.8
2023-01,12.6
2023-02,12.9
2023-03,12.7
2023-04,12.4
2023-05,11.6
2023-06,11.3
2023-07,10.7
2023-08,10.6
2023-09,10.3
2023-10,10.3
2023-11,10.0
2023-12,9.7
2024-01,8.7
2024-02,8.7
2024-03,8.3
2024-04,7.2
2024-05,7.0
2024-06,6.2
2024-07,6.3
2024-08,6.3
2024-09,6.8
2024-10,7.5
2024-11,7.1
2024-12,7.3
2025-01,7.0
2025-02,7.0
2025-03,7.0
2025-04,8.0
2025-05,7.9
2025-06,8.3
2025-07,8.8
2025-08,8.8
2025-09,8.4
2025-10,8.2
2025-11,8.0
2025-12,8.5
2026-01,9.0
2026-02,9.0
2026-03,8.5
2026-04,8.6
