month,ppi
2006-01,3.05
2006-02,3.01
2006-03,2.49
2006-04,1.87
2006-05,2.43
2006-06,3.52
2006-07,3.58
2006-08,3.4
2006-09,3.45
2006-10,2.9
2006-11,2.78
2006-12,3.05
2007-01,3.3
2007-02,2.6
2007-03,2.65
2007-04,2.87
2007-05,2.76
2007-06,2.49
2007-07,2.39
2007-08,2.56
2007-09,2.71
2007-10,3.21
2007-11,4.55
2007-12,5.43
2008-01,6.07
2008-02,6.62
2008-03,7.95
2008-04,8.12
2008-05,8.22
2008-06,8.84
2008-07,10.03
2008-08,10.06
2008-09,9.13
2008-10,6.59
2008-11,1.99
2008-12,-1.14
2009-01,-3.35
2009-02,-4.47
2009-03,-5.99
2009-04,-6.6
2009-05,-7.2
2009-06,-7.8
2009-07,-8.22
2009-08,-7.86
2009-09,-6.99
2009-10,-5.85
2009-11,-2.08
2009-12,1.7
2010-01,4.32
2010-02,5.39
2010-03,5.91
2010-04,6.81
2010-05,7.13
2010-06,6.41
2010-07,4.84
2010-08,4.32
2010-09,4.33
2010-10,5.04
2010-11,6.06
2010-12,5.93
2011-01,6.6436
2011-02,7.2322
2011-03,7.3081
2011-04,6.821
2011-05,6.7851
2011-06,7.1209
2011-07,7.5417
2011-08,7.2528
2011-09,6.5227
2011-10,5.0038
2011-11,2.7179
2011-12,1.6854
2012-01,0.7347
2012-02,0.0284
2012-03,-0.3171
2012-04,-0.6984
2012-05,-1.3981
2012-06,-2.0843
2012-07,-2.8651
2012-08,-3.4784
2012-09,-3.5545
2012-10,-2.7558
2012-11,-2.1995
2012-12,-1.9397
2013-01,-1.6372
2013-02,-1.6254
2013-03,-1.919
2013-04,-2.6175
2013-05,-2.8658
2013-06,-2.6965
2013-07,-2.2712
2013-08,-1.625
2013-09,-1.3439
2013-10,-1.5071
2013-11,-1.4242
2013-12,-1.3557
2014-01,-1.6394
2014-02,-2.0182
2014-03,-2.3022
2014-04,-2.0042
2014-05,-1.4464
2014-06,-1.1086
2014-07,-0.8688
2014-08,-1.2038
2014-09,-1.7996
2014-10,-2.2428
2014-11,-2.6928
2014-12,-3.3152
2015-01,-4.3202
2015-02,-4.7976
2015-03,-4.5603
2015-04,-4.5725
2015-05,-4.607
2015-06,-4.8135
2015-07,-5.3692
2015-08,-5.9227
2015-09,-5.945
2015-10,-5.9
2015-11,-5.9
2015-12,-5.9
2016-01,-5.3
2016-02,-4.9
2016-03,-4.3
2016-04,-3.4
2016-05,-2.8
2016-06,-2.6
2016-07,-1.7
2016-08,-0.8
2016-09,0.1
2016-10,1.2
2016-11,3.3
2016-12,5.5
2017-01,6.9
2017-02,7.8
2017-03,7.6
2017-04,6.4
2017-05,5.5
2017-06,5.5
2017-07,5.5
2017-08,6.3
2017-09,6.9
2017-10,6.9
2017-11,5.8
2017-12,4.9
2018-01,4.3
2018-02,3.7
2018-03,3.1
2018-04,3.4
2018-05,4.1
2018-06,4.7
2018-07,4.6
2018-08,4.1
2018-09,3.6
2018-10,3.3
2018-11,2.7
2018-12,0.9
2019-01,0.1
2019-02,0.1
2019-03,0.4
2019-04,0.9
2019-05,0.6
2019-06,0.0
2019-07,-0.3
2019-08,-0.8
2019-09,-1.2
2019-10,-1.6
2019-11,-1.4
2019-12,-0.5
2020-01,0.1
2020-02,-0.4
2020-03,-1.5
2020-04,-3.1
2020-05,-3.7
2020-06,-3.0
2020-07,-2.4
2020-08,-2.0
2020-09,-2.1
2020-10,-2.1
2020-11,-1.5
2020-12,-0.4
2021-01,0.3
2021-02,1.7
2021-03,4.4
2021-04,6.8
2021-05,9.0
2021-06,8.8
2021-07,9.0
2021-08,9.5
2021-09,10.7
2021-10,13.5
2021-11,12.9
2021-12,10.3
2022-01,9.1
2022-02,8.8
2022-03,8.3
2022-04,8.0
2022-05,6.4
2022-06,6.1
2022-07,4.2
2022-08,2.3
2022-09,0.9
2022-10,-1.3
2022-11,-1.3
2022-12,-0.7
2023-01,-0.8
2023-02,-1.4
2023-03,-2.5
2023-04,-3.6
2023-05,-4.6
2023-06,-5.4
2023-07,-4.4
2023-08,-3.0
2023-09,-2.5
2023-10,-2.6
2023-11,-3.0
2023-12,-2.7
2024-01,-2.5
2024-02,-2.7
2024-03,-2.8
2024-04,-2.5
2024-05,-1.4
2024-06,-0.8
2024-07,-0.8
2024-08,-1.8
2024-09,-2.8
2024-10,-2.9
2024-11,-2.5
2024-12,-2.3
2025-01,-2.3
2025-02,-2.2
2025-03,-2.5
2025-04,-2.7
2025-05,-3.3
2025-06,-3.6
2025-07,-3.6
2025-08,-2.9
2025-09,-2.3
2025-10,-2.1
2025-11,-2.2
2025-12,-1.9
2026-01,-1.4
2026-02,-0.9
2026-03,0.5
